Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8

Function: A1354C8D316970B1A9159C134267DB01A28B1C53156907D106CB60ADCA07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: A0375C8531C934B169159C0B4363D921A2991A53056D87510E8B40EDE207FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: A1365C8C31E874B0E9149C1A4366DB20A29A1E52156C87D00ECA60ECEA06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: A1375C8D31E974B1E9159C1B4367DB21A29B1E53156D87D10ECB60EDEA070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: C133549920EB7C11E80D961953251B6183930E4715A5A1D10A6BA0CD6C07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E123509D21E35C91E8198E1953075361039B1E4514E5A3910C6BA06DAC07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E131449D216B7891A81D9E1152275B41838B1C4715E123D1066BA0ADCC07FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E033549521CB3C91681D9E095323596183991A4705E5A3510E2B80EDE407FFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E132549C21EA7C90E81C9E1853265B60839A1E4615E4A3D00E6AA0ECEC06FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
Function: E133549D21EB7C91E81D9E1953275B61839B1E4715E5A3D10E6BA0EDEC070000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_11(X) = X^2 + 2 
